fold,train_acc,val_acc,val_f1_normal,val_f1_abnormal,val_f1_nonsperm,val_roc_auc,val_loss
1,0.8934707903780069,0.8549019607843137,0.7891566265060241,0.93125,0.8478260869565217,0.9535502591956506,0.5655408618040383
2,0.9518900343642611,0.8411764705882353,0.7774294670846394,0.9036144578313253,0.8401084010840109,0.9492158658777387,0.5688369660638273
3,0.9509322865554465,0.8290766208251473,0.7950617283950617,0.9211356466876972,0.777027027027027,0.9572719298114524,0.6879922074731439
4,0.9263984298331698,0.8487229862475442,0.7940298507462686,0.9136490250696379,0.8333333333333334,0.9623580498907,0.4885222530574538
5,0.9617271835132483,0.8801571709233792,0.84,0.9325153374233128,0.8713450292397661,0.9652829730767687,0.435433670761995
